comprador,calificacion,estado,titulo,comentario
Sylvia,"4,0 de 5 estrellas",Revisado en España el 20 de noviembre de 2020,Muy bueno!!,"Ante nada te cuento que soy quiromasajista así que puedo decir con propiedad que es un muy buen producto. Porsupuesto que no es como las manos de un profesional. pero cumple perfectamente su función . Creo que es un regalo perfecto para Navidad. lo recomiendo cien por ciento .(como profesional recomiendo no abusar del tiempo recomendado, puede dañar el musculo)"
Angel Ferrero,"5,0 de 5 estrellas",Revisado en España el 4 de noviembre de 2020,"Un pelin aparatoso, pero lo voy a usar bastante","La verdad es que lo compré con poca fe en ello, esa es la verdad. Pero necesitaba algo así y me animé a probarlo. No me arrepiento de haberlo comprado, aunque es más grande de lo que me imaginaba puede resultar algo aparatoso.No obstante el resultado me gusta, y me lo voy a quedar porque sí le daré uso"
María gb,"5,0 de 5 estrellas",Revisado en España el 20 de octubre de 2020,Un acierto,"Genial. Al principio llama la atención el tamaño, pero es lo necesario para sensación de envoltura. La primera sensación es que es muy fuerte, pero tienen tres niveles de intensidad. Des pues de usarlo es cuando empiezas a notar la mejoría. Muy recomendable. Te deja relajada la zona y notas descongestión. Un acierto."
desdecasa,"5,0 de 5 estrellas",Revisado en España el 19 de febrero de 2020,Muy recomendable,"Estoy muy contenta con este producto y la verdad no estaba muy segura si cumpliria con su cometido pero lo ha cumplido. Apenas lo he recibido lo estuve usando en la espalda y me dio un buen masaje!Trae un libro de instrucciones y está incluido el idioma español que eso es importante, tiene 2 velocidades y trae un conector  extra para poder usarlo en el coche, la funcion de masaje con calor  es cuando se enciende la luz roja, me ha gustado mucho que después de unos minutos cambia el sentido del masaje a la otra dirección. Por apenas 40€ tienes una masagista en casas"
Gabriel,"4,0 de 5 estrellas",Revisado en España el 22 de marzo de 2021,Bajo de precio despues de comprarlo,Funciona bien por ahora Lo que me molesta es que lo compre ayer y ahora bajo de 39.99 a 33.99. Es enserio?  Me da ganas de devolverlo Me siento estafado
Clau,"5,0 de 5 estrellas",Revisado en España el 22 de octubre de 2020,Alivio rápido,"Me ha encantado el producto, he tenido uno por años y se había estropeado,  el masaje con calor me va genial para las cervicales y lumbares, trabajo frente a un ordenador muchas horas, se apaga cuando termina su ciclo, el alivio en mi caso es inmediato, la verdad muy contenta"
Jaime Simo Dalmau,"5,0 de 5 estrellas",Revisado en España el 31 de mayo de 2020,Es muy fácil de utilizar y se puede usar en múltiples posiciones,"El producto viene muy bien presentado, con instrucciones claras y consejos de utilización. Destacable que se conecte a la red ya que tuvimos antes uno que debias cargar la bateria, pero no te aguantaba nada. Es efectivo en cuello y hombros, un poco menos quizá en espalda ya que los apoyabrazos no tienen tanta utilidad.Si lo tuviera que volver a comprar lo haria sin dudar. Recomendable."
brisa,"5,0 de 5 estrellas",Revisado en España el 29 de marzo de 2021,Buena compra,"Me ha sorprendido, hace una magnífica función. Relaja casi inmediatamente y tiene tres niveles, los cuales puedes ajustar a tus necesidades. Lo rexomiendo"
Daniel Jimenez,"3,0 de 5 estrellas",Revisado en España el 22 de abril de 2020,Bastante bien el aparato,"Esta bastante bien , para usarlo de vez en cuando , parece que va bien para quitar contracturas y tension en los musculosNo da mucho calor mas bien poco y es muy facil de usar"
Deivan,"4,0 de 5 estrellas",Revisado en España el 11 de enero de 2021,Para descargar tensiones,"Está muy bien para descargar diferentes zonas, recoge bien la zona tanto del cuello como lumbar. Según lo que te apoyes ejerce más presión o menos. Se nota el calor, sobre todo en la zona del cuello."
Sylvia,"4,0 de 5 estrellas",Revisado en España el 20 de noviembre de 2020,Muy bueno!!,
Daniel Jimenez,"3,0 de 5 estrellas",Revisado en España el 22 de abril de 2020,Bastante bien el aparato,TOP 1000 COMENTARISTAS
gloria,"5,0 de 5 estrellas",Revisado en España el 13 de mayo de 2021,Vale la pena comprarlo,Esta muy bien lo recomiendo a todos yo tengo una lexion en la espalda y perfectamente bien
Joan,"1,0 de 5 estrellas",Revisado en España el 17 de mayo de 2020,Decepción,"el cable esta en mal estado , esta pellizcado y se ven los cables de cobre, lo voy a devolver"
Luis,"5,0 de 5 estrellas",Revisado en España el 6 de marzo de 2020,Bien acabado.,"Probé uno y me funcionó bien, por eso me he comprado el mío."
Inma Tante,"5,0 de 5 estrellas",Revisado en España el 2 de marzo de 2021,Cumple todas las expectativas,"El producto es estupendo, cumple todas las expectativas, muy práctico y fácil de usar. Sin duda lo recomiendo como tratamiento complementario en casa para todas aquellas personas que tengan dolencias de cuello y espalda."
Gabriela Aparicio,"4,0 de 5 estrellas",Revisado en España el 20 de mayo de 2020,Alivia un poco,"No es tal cual un masaje, pero relaja y alivia, sobre todo con calor."
Claudio,"2,0 de 5 estrellas",Revisado en España el 26 de mayo de 2021,Ni fu ni fa.,Caja machacada.  El producto ni fu ni fa. Nada del otro mundo. Normalito más bien.
manuel,"5,0 de 5 estrellas",Revisado en España el 15 de mayo de 2020,PERFECTO,ME VIENE PERFECTO PARA LO QUE LO NECESITO
Luz mary,"4,0 de 5 estrellas",Revisado en España el 27 de diciembre de 2020,Me gusto,Me gusta da buenos masajes
Jessica,"5,0 de 5 estrellas",Revisado en España el 27 de septiembre de 2020,Excelente,"La mejor inversión, me encanta"
Laura Sainz,"4,0 de 5 estrellas",Revisado en España el 12 de julio de 2020,Producto recomendado,Buen producto. Un poco pesado pero hace su funcion. Da unos masajes buenisimos y la funcion calor es perfecta.
Sylvia,"4,0 de 5 estrellas",Revisado en España el 20 de noviembre de 2020,Muy bueno!!,
Daniel Jimenez,"3,0 de 5 estrellas",Revisado en España el 22 de abril de 2020,Bastante bien el aparato,TOP 1000 COMENTARISTAS
Cliente Amazon,"4,0 de 5 estrellas",Revisado en España el 4 de junio de 2020,Alivia muscularmente,Me alivia muscularmente aunque esta claro que no sustituye un fisio Peto a mi me gusta el resultado
Mujer,"5,0 de 5 estrellas",Revisado en España el 1 de diciembre de 2020,Masajear el cuello sin ayuda,Muy util para los cervicales. Relaja los nudos y sensacion de bienestar.
Meri,"5,0 de 5 estrellas",Revisado en España el 19 de junio de 2020,Masaje de cuello genial.,Muy agradable.
Nabila89,"5,0 de 5 estrellas",Revisado en España el 4 de agosto de 2020,5 estrellas totalmente.,Es como tener un fisio en casa. Llevo 2 días usándolo y la verdad me está ayudando bastante con mis contracturas.
Alex 'BigHagar' Machado,"5,0 de 5 estrellas",Revisado en España el 30 de mayo de 2021,Resulta,Cumpre com o anunciado e mais barato que outros produtos similares no mercado.
Cliente Amazon,"5,0 de 5 estrellas",Revisado en España el 11 de febrero de 2021,Funciona muy bien,"Me ha sorprendido gratamente, alivia las tensiones sobre todo en la espalda."
Loli,"5,0 de 5 estrellas",Revisado en España el 28 de noviembre de 2020,Cumple expectativas,Lo recomiendo
Miriam,"5,0 de 5 estrellas",Revisado en España el 25 de abril de 2020,Enamorada!,He dejado a mi novio. Ya no lo necesito. La mejor inversión que he hecho nunca!
Almu,"5,0 de 5 estrellas",Revisado en España el 19 de marzo de 2020,PERFECTO,Es súper cómodo de usar y te alivia un montón!
Maribel aragon,"5,0 de 5 estrellas",Revisado en España el 4 de abril de 2021,"Funciona, calma el dolor","Es práctico y cómodo, cumple con lo reseñado, lo recomiendo"
